i,j,goalCurrent
0,0,"[39.514937521951275, -2.741240118116067, -108.13398275205789, -2.3012158918161396]"
0,1,"[39.44313914711801, -2.7788810984918344, -108.13790449646018, -2.30119573032931]"
0,2,"[39.68677753303998, -2.7332164825613967, -107.84521496102298, -2.212932181431128]"
0,3,"[39.537452617176335, -2.740188832577734, -107.98315348726284, -2.212103828973666]"
0,4,"[39.52567997262206, -2.740738526498374, -107.99402843891019, -2.2120385223971253]"
0,5,"[39.65441521727205, -2.7347275592063642, -107.87510957115498, -2.2127526574472003]"
0,6,"[39.625507861577624, -2.7705002737162987, -107.83921437335079, -2.212968216335081]"
0,7,"[39.62760500513972, -2.7704038986731607, -107.83727493913275, -2.2129798630819644]"
0,8,"[43.617238807622996, -2.54969351471941, -104.21446096043874, -2.234735691159749]"
0,9,"[50.642394254852285, -2.264215000457601, -97.65081962851339, -2.2741518613582214]"
0,10,"[56.89688699747344, -1.976787368524722, -91.86667711167259, -2.3088869625568638]"
0,11,"[59.31248922320783, -1.816843414931342, -89.71601173132083, -2.3218022009717947]"
0,12,"[64.4656204545635, -1.5762309597538122, -84.95581934505566, -2.3503882470072295]"
0,13,"[70.27806302864168, -1.3048336256790445, -79.586589716597, -2.3826317012375244]"
0,14,"[72.94691996833798, -1.180218087679447, -77.12123963836291, -2.397436693370449]"
0,15,"[78.64795818614606, -0.9140224988108793, -71.85491951185656, -2.4290621524607197]"
0,16,"[82.19733728989046, -0.8140953943491563, -68.46887072613708, -2.449396151302046]"
0,17,"[82.8664098615176, -0.7833479056609784, -67.85011373533774, -2.453111928814479]"
0,18,"[85.83867920218883, -0.5782699319755997, -65.2125085396604, -2.468951352398384]"
0,19,"[86.0420438162025, -0.5687743346625876, -65.02465097426924, -2.4700794801244546]"
0,20,"[87.05364676889124, -0.5215400883018086, -64.09018521799051, -2.4756911611154577]"
0,21,"[87.39593373126368, -0.5751918851426845, -63.66121902010237, -2.4782672014275797]"
0,22,"[87.53584397774907, -0.5687622556770687, -63.53183030089849, -2.4790442103346777]"
0,23,"[88.44825399238442, -0.4564224243053616, -62.801920202205885, -2.483427487729759]"
0,24,"[86.45168363243354, -0.5496472374673748, -64.64624719474408, -2.4723518815283767]"
0,25,"[85.96497267634064, -0.6409522536217973, -64.98456897322025, -2.470320181725189]"
0,26,"[86.3010405245786, -0.6255081257344036, -64.67377409191997, -2.4721865762032906]"
0,27,"[85.51045996597628, -0.5935953007108371, -65.51570025729761, -2.467130616660276]"
0,28,"[83.44886639441668, -0.7565808905177397, -67.31145908582553, -2.45634667341274]"
0,29,"[82.75270738313834, -0.7223615963741912, -68.06316746871865, -2.4518324923261505]"
0,30,"[81.04074632918149, -0.8022972964111771, -69.6445873101233, -2.44233570381017]"
0,31,"[80.9066200835414, -0.8085599828863125, -69.76848610187332, -2.4415916631753998]"
0,32,"[80.7947539137445, -0.8137832913094237, -69.87182220294285, -2.440971106209926]"
0,33,"[78.97140136336077, -0.9623445269784217, -71.45220989001383, -2.4314805160172277]"
0,34,"[77.91983709838885, -1.0106695693030292, -72.42469444224076, -2.4256405234448852]"
0,35,"[77.45025322020624, -1.0322494779629467, -72.85896468393595, -2.423032631134327]"
0,36,"[77.75943198536115, -1.0180410482837783, -72.57303677348368, -2.424749693754441]"
0,37,"[76.74870307755072, -1.0644894859833491, -73.50775686818096, -2.419136485402955]"
0,38,"[75.86724482554355, -1.0438608900337454, -74.4235966856462, -2.413636657442496]"
0,39,"[75.41208173334527, -1.0651135816891864, -74.84405248013627, -2.4111117240528626]"
0,40,"[75.90306646846965, -1.1033510432712161, -74.28979993156982, -2.414440137609065]"
0,41,"[77.63645707595504, -0.9612519898933001, -72.78929119137682, -2.4234510364222084]"
0,42,"[77.85943864338675, -0.9508404284580675, -72.58331251318845, -2.4246879855829184]"
0,43,"[78.24432093983042, -0.9328693211557378, -72.22777843208618, -2.4268230492074228]"
0,44,"[78.83072481173524, -0.9688093722930021, -71.58230728669557, -2.4306992513394876]"
0,45,"[79.45548844498717, -0.8763169117636055, -71.10896540798585, -2.4335417777832378]"
0,46,"[80.21686542074123, -0.8407663357687397, -70.40564528661788, -2.437765376271627]"
0,47,"[80.49498294450426, -0.8277803400282595, -70.1487349034613, -2.4393081819912203]"
0,48,"[80.12648189305357, -0.8449865664456155, -70.48913684951944, -2.4372639903050515]"
0,49,"[82.36785992059146, -0.7403310771956391, -68.41866937209385, -2.449697621936271]"
0,50,"[82.2749142512706, -0.7446709406086515, -68.50452770706994, -2.449182022961063]"
0,51,"[82.53016933140148, -0.7987999692108403, -68.16106831249736, -2.4512445753261485]"
0,52,"[82.87410250184388, -0.7835633257355517, -67.85444881058413, -2.45308589569428]"
0,53,"[84.43103097694036, -0.6439965126305658, -66.5128201489583, -2.461142683229665]"
0,54,"[85.02592937330641, -0.6841063516406953, -65.85299436241634, -2.4651050882710828]"
0,55,"[85.2449776470104, -0.6059913274574331, -65.76093890088964, -2.4656579024112437]"
0,56,"[84.85120450583682, -0.6921359004727443, -66.01457957424229, -2.464134732048248]"
0,57,"[85.93565237287355, -0.573742014552727, -65.12292981013832, -2.469489293195336]"
0,58,"[85.71797284024723, -0.6528703041564603, -65.22440570134492, -2.468879907216339]"
0,59,"[86.82155465273863, -0.6715335659843066, -64.09138246456193, -2.475683971375458]"
0,60,"[86.75354300438633, -0.6746088595094184, -64.15435201677442, -2.475305824785507]"
0,61,"[87.6672170741435, -0.49289097168850315, -63.52340114741836, -2.4790948293327912]"
0,62,"[87.50303585823677, -0.5708358750969679, -63.57355944910087, -2.4787936172378577]"
0,63,"[87.9227803290755, -0.4809580905990052, -63.28732521499612, -2.480512519401696]"
0,64,"[87.97613626876812, -0.6193266653428798, -63.02239664940374, -2.482103476144112]"
0,65,"[87.76684376576124, -0.488239154803752, -63.43137123441675, -2.479647490048205]"
0,66,"[88.67144911297352, -0.516575082670359, -62.481624918096855, -2.4853509343036606]"
0,67,"[88.5053245895385, -0.5242093993674614, -62.6352565487713, -2.484428341158133]"
0,68,"[88.71566036960787, -0.5151084534589846, -62.45211073283601, -2.4855281737490658]"
0,69,"[88.22778585444276, -0.46671662749502285, -63.005577106042935, -2.482204481356042]"
0,70,"[87.93188293780119, -0.5511277611696962, -63.17695687151677, -2.481175306594217]"
0,71,"[88.8723194289772, -0.578803808792944, -62.19265272074005, -2.4870862785642074]"
0,72,"[87.96877479376577, -0.6196595303293703, -63.0292123757646, -2.482062546145551]"
0,73,"[87.95908136361295, -0.5498778292007404, -63.15180346300077, -2.4813263585760366]"
0,74,"[87.6566771546589, -0.5637751293950353, -63.431470259065435, -2.4796468953825]"
0,75,"[87.34356991470243, -0.5781642985198039, -63.72103533795814, -2.477907990732476]"
0,76,"[87.14378332554578, -0.5873456991818756, -63.90580021103769, -2.4767984353324]"
0,77,"[86.33916458195233, -0.6243227910694198, -64.6499206280539, -2.4723298217196166]"
0,78,"[86.02362909682229, -0.6388235527286953, -64.94173137525294, -2.4705774313168387]"
0,79,"[86.09092111619259, -0.5664921325169283, -64.97950068780685, -2.4703506179404497]"
0,80,"[86.33244491956188, -0.6246316001490533, -64.6561350470194, -2.4722925027097493]"
0,81,"[86.22598557807642, -0.6295240500002894, -64.75458983720692, -2.471701259134631]"
0,82,"[86.01192925891398, -0.6393612309581039, -64.95255151626093, -2.4705124538907466]"
0,83,"[85.65384310052328, -0.6558174530979662, -65.28371360219421, -2.468523749681859]"
0,84,"[85.04041959502045, -0.6840079688043936, -65.85101452372598, -2.4651169776560806]"
0,85,"[85.14915971757964, -0.6790107032848552, -65.75045044168165, -2.465720888012125]"
0,86,"[85.06573225243416, -0.6828446992850624, -65.82760509492451, -2.465257556640097]"
0,87,"[84.50207207017554, -0.7087482896732797, -66.34888433831439, -2.46212715533702]"
0,88,"[84.75162556573694, -0.6972797990251237, -66.11809447334595, -2.4635131013596085]"
0,89,"[84.52753508737678, -0.640058027287244, -66.43490253687598, -2.4616105963443498]"
0,90,"[84.63045247233309, -0.7028484346612782, -66.2301567059409, -2.462840141974808]"
0,91,"[84.15389309889872, -0.6575045836652937, -66.85855955906875, -2.51341072547214]"
0,92,"[83.80225012632268, -0.6739239346354108, -67.18380028594652, -2.5117386795765646]"
0,93,"[84.0817499628668, -0.6608731806883359, -66.9252860055846, -2.5130676882329412]"
0,94,"[83.83949037095776, -0.6721850668218524, -67.1493561332723, -2.5119157551988534]"
0,95,"[83.59493755672946, -0.683604030943696, -67.37554730233488, -2.510752917999843]"
0,96,"[84.1278194534587, -0.6587220467427274, -66.80414494888471, -2.4593932110516095]"
0,97,"[83.91514753085102, -0.668652388626724, -67.07937950471374, -2.5122755014572347]"
0,98,"[83.89400347869146, -0.6696396730043845, -67.09893600784285, -2.5121749624776832]"
0,99,"[83.74608865728324, -0.6765462957888299, -67.23574500953677, -2.5114716344167847]"
0,100,"[83.52191232205826, -0.7543518109129399, -67.34571014286014, -2.5109063093063817]"
0,101,"[83.26401603652428, -0.7662038982729119, -67.58451758024822, -2.5096786125189876]"
0,102,"[82.84746833612544, -0.7853470965725714, -67.97023344535339, -2.5076956670395]"
0,103,"[82.42257303996558, -0.8048739236398984, -68.36367903773208, -2.5056729834285503]"
0,104,"[82.72145279133414, -0.791138367441357, -68.08692162975419, -2.5070957790683264]"
0,105,"[82.19225482352364, -0.8154586112642698, -68.57694966680846, -2.5045765700629263]"
0,106,"[81.92316012329269, -0.8278253419003436, -68.82612663980679, -2.503295564024804]"
0,107,"[80.68058429818984, -0.884930147423292, -69.97673006140627, -2.49738037084777]"
0,108,"[81.61445322384817, -0.842012522352621, -69.11198381455331, -2.5018259869507875]"
0,109,"[81.71093155333318, -0.8375786873051989, -69.02264657349885, -2.5022852651250225]"
0,110,"[81.81919574237732, -0.8326032118971265, -68.92239583319449, -2.502800649039157]"
0,111,"[81.64467665016373, -0.8406235504708893, -69.08399745184722, -2.5019698634060643]"
0,112,"[81.69949038539018, -0.9042508051061084, -68.93758473876278, -2.5027225636546557]"
0,113,"[81.41528312092146, -0.9171022451968684, -69.20105910176886, -2.5013680554678035]"
0,114,"[80.97084280971026, -0.9371991911497694, -69.61307752117658, -2.499249889905681]"
0,115,"[80.94171151029403, -0.9385164662374198, -69.64008369419463, -2.4991110525553175]"
0,116,"[80.31694430071482, -0.9667675328651081, -70.21927417646003, -2.4961334639921473]"
0,117,"[79.8197117742566, -0.9892516661855587, -70.68023362244527, -2.4937636951225306]"
0,118,"[79.17356283466343, -1.0184695836178006, -71.36325732695134, -2.548339008530532]"
0,119,"[79.56022574835957, -1.0009852477406926, -71.00435392534834, -2.549874688661284]"
0,120,"[79.54131383783032, -1.0018404168920612, -71.02190810181402, -2.5497995776428604]"
0,121,"[79.36268482798104, -1.0099177615118102, -71.18771288160801, -2.5490901301849203]"
0,122,"[79.64821192848952, -0.9970066403505246, -70.9226844964372, -2.550224136782167]"
0,123,"[79.3663269734787, -1.0743233552551614, -71.09083862756414, -2.549504636891884]"
0,124,"[79.08607176647915, -1.0867886860777747, -71.35127390788628, -2.54839028332613]"
0,125,"[78.77642747932441, -1.100561199059923, -71.63901984341648, -2.5471590726050155]"
0,126,"[79.70275555433894, -0.9950845702460414, -70.88322989527491, -2.5503929555974834]"
0,127,"[79.60874522588853, -0.999335660415287, -70.97049261620337, -2.55001957483239]"
0,128,"[80.92355202149623, -0.9398808926743865, -69.75005630488407, -2.5552415921935228]"
0,129,"[80.38920097879871, -0.9640439235028099, -70.24605420942636, -2.5531193104778915]"
0,130,"[80.80486586431589, -0.9452478088880771, -69.94235179534427, -2.6111325955349467]"
0,131,"[80.61586183860294, -0.9537944565692404, -70.11800878396826, -2.610532057373794]"
0,132,"[79.19384423206034, -1.0180972323100546, -71.43960672133157, -2.606013762933563]"
0,133,"[78.55473202708328, -1.0469974995084166, -72.03358626698221, -2.603983058736129]"
0,134,"[80.22526698684904, -1.0366538788855797, -70.38650013596292, -2.6096141360085507]"
0,135,"[80.33972406440019, -1.0315629045689632, -70.28000295509194, -2.609978229812442]"
0,136,"[80.03538554386215, -1.045099678569886, -70.64606866915796, -2.665897027648856]"
0,137,"[79.54159731716696, -1.0670630488894641, -71.10608867486658, -2.6647189426128057]"
0,138,"[79.20496447862229, -1.0820362525726919, -71.41970052694631, -2.6639158005201176]"
0,139,"[79.80830126492253, -1.0552002355343264, -70.857623553715, -2.6653552476377533]"
0,140,"[80.0704533679799, -1.0435398851893218, -70.61339899463208, -2.665980692824748]"
0,141,"[82.26616189267632, -0.9458762374257441, -68.56784627899617, -2.6712192368333514]"
0,142,"[81.93833488193079, -1.0270738180676324, -68.7765562869526, -2.6706847423892053]"
0,143,"[81.63882028112056, -1.0401738259395197, -69.05591081260106, -2.6699693313585207]"
0,144,"[81.49503862272375, -0.980700559072432, -69.29723727908463, -2.6693513080216245]"
0,145,"[81.98511161789233, -1.0250279224496572, -68.73292805363586, -2.6707964718100605]"
0,146,"[82.01182456021847, -0.9571889919971757, -68.80479048868752, -2.6706124362065267]"
0,147,"[81.00482588270913, -1.0679031305792783, -69.6472315827836, -2.668454992542354]"
0,148,"[80.7480045722348, -1.013928829026392, -69.9931991788976, -2.6675689892318846]"
0,149,"[80.69652196414557, -1.0162187888995777, -70.04116209800371, -2.6674461589275866]"
0,150,"[80.22217889098383, -1.1021341220727667, -70.459748176294, -2.723236800099211]"
0,151,"[79.94242001335587, -1.049761440907538, -70.82671348334195, -2.7226110509339687]"
0,152,"[80.6668713635118, -1.0826844028439644, -70.04447167924089, -2.7239449294956]"
0,153,"[80.73186664926017, -1.0146466480612089, -70.09032378071086, -2.7238667425017113]"
0,154,"[80.52001700312813, -1.0896247505698222, -70.19265702104555, -2.72369224388158]"
0,155,"[80.05330275293933, -1.1100380736531172, -70.62850769855508, -2.7229490313969564]"
0,156,"[79.66611772423306, -1.126972917791256, -70.99008838098533, -2.7223324640924926]"
0,157,"[79.27557951762581, -1.1440544244832405, -71.43845186826395, -2.779118360607575]"
0,158,"[79.77645866524732, -0.7370423849647706, -71.42118393735696, -2.6879469823292315]"
0,159,"[80.46430002013291, -0.7069573215632338, -70.69503910000992, -2.631539331830849]"
0,160,"[79.6319470970495, -0.807920984100536, -71.46236081840657, -2.6879119170799304]"
0,161,"[79.1968894771519, -0.8266261446917897, -71.86962387757826, -2.6875651015772313]"
0,162,"[79.74028779069221, -0.8032629112833499, -71.36094169526585, -2.6879982831850393]"
0,163,"[78.25398738864813, -0.8671659127147999, -72.83771928051726, -2.7454436455555733]"
0,164,"[77.88607059304788, -0.8829843754451902, -73.18255828280294, -2.7454436227649244]"
0,165,"[77.50187854910007, -0.8995025871745168, -73.54265165909176, -2.745443598966102]"
0,166,"[76.7114730436151, -0.9334858143061033, -74.28347852313279, -2.7454435500043393]"
0,167,"[76.49577607419253, -0.8809978618226504, -74.58623614459779, -2.745443529994878]"
0,168,"[76.61067172104154, -0.9382753886074804, -74.38789018762955, -2.7454435431037]"
0,169,"[76.22225393307488, -0.954975671152928, -74.67383093263801, -2.685185351597344]"
0,170,"[76.17498943603621, -0.9570078398109252, -74.71807816722834, -2.6851476728192734]"
0,171,"[75.77505862263595, -0.97420313258415, -75.18080245811387, -2.745443491340351]"
0,172,"[75.35714173713687, -0.9921717485553297, -75.56281895966129, -2.7454434654518405]"
0,173,"[60.971951052632186, -9.980052310309802, -87.09023810159039, -11.39593335256232]"
0,174,"[60.989267441223056, -9.979307780602115, -87.07400704000331, -11.39593335363501]"
0,175,"[60.581984692858185, -9.996819174735702, -87.45576281646767, -11.395933328405249]"
0,176,"[60.095356926623005, -10.078413800512854, -87.87854767655365, -11.456807424471542]"
0,177,"[60.2453432296873, -10.072076859232556, -87.68273691729523, -11.395933313404816]"
0,178,"[60.010173103420016, -10.082012828388331, -87.90342292293822, -11.395933298819953]"
0,179,"[59.6266776874389, -10.09821556078913, -88.26329886840196, -11.395933275036203]"
0,180,"[59.16683344422172, -10.117644041309118, -88.7846033660685, -11.457548376685764]"
0,181,"[58.765744456390834, -10.13459010446376, -89.16145571237543, -11.457868441583708]"
0,182,"[59.438538811978475, -10.10616445333449, -88.52931636380731, -11.45733155858943]"
0,183,"[59.131170392985915, -10.119150809973595, -88.81811140279461, -11.45757683543482]"
0,184,"[59.446840529711714, -10.105813704654603, -88.52151629474265, -11.45732493390384]"
0,185,"[58.97533200435197, -10.185687812636363, -88.87706724143207, -11.457626907285672]"
0,186,"[58.68787038274498, -10.197618266986778, -89.23766415715383, -11.519753266055679]"
0,187,"[58.91361075196544, -10.188249415746828, -89.02505567859113, -11.519392557394616]"
0,188,"[57.97809414951707, -10.227075948684242, -89.90615090406426, -11.520887411603619]"
0,189,"[57.178274373999244, -10.260270687053247, -90.65944313169912, -11.522165436979916]"
0,190,"[57.13333100840011, -10.26213596134147, -90.70177202756528, -11.522237251610523]"
0,191,"[57.24945878089439, -10.257316336791893, -90.59239970256137, -11.522051692007368]"
0,192,"[56.90696825256833, -10.27299742308108, -90.94825249739903, -11.52265542703256]"
0,193,"[56.03644938124432, -10.309127288652503, -91.76815192296154, -11.52404645727745]"
0,194,"[55.37515573086011, -10.336573506625099, -92.48504251529954, -11.589647439335984]"
0,195,"[54.29303585663805, -11.138474023291536, -91.85546612359506, -11.2598702549233]"
0,196,"[54.11946085234915, -11.145678050427646, -92.01915007001246, -11.260286301167188]"
0,197,"[54.97289879598227, -11.110257108742468, -91.21434472831886, -11.258240674538555]"
0,198,"[62.95720816503901, -6.043890501968585, -83.65509453915202, -5.199662950814066]"
0,199,"[64.53389776122063, -5.978451848041115, -82.26083676879146, -5.259422608724589]"
0,200,"[64.00003922414358, -6.059423861195515, -82.6787688468812, -5.260837248064171]"
0,201,"[66.1184547786987, -4.199267844245705, -81.90004582218968, -4.116061085728836]"
0,202,"[65.97219260178825, -4.147915251884803, -82.14052108096146, -4.116875059527665]"
0,203,"[65.6840860032167, -4.159873109477003, -82.50734026237694, -4.182845885522822]"
0,204,"[65.31430270293076, -4.175220956651336, -82.85692240368626, -4.184323170475312]"
0,205,"[65.61486821660611, -4.219791324149777, -82.47081683652617, -4.182691542663028]"
0,206,"[65.20447466074975, -4.237259214543863, -82.8764727988086, -4.1844057876948915]"
0,207,"[64.6578719763398, -4.316000769702199, -83.29268295960809, -4.186164633284999]"
0,208,"[65.90464444755466, -4.2087232691870105, -82.21378393872206, -4.181605357794433]"
0,209,"[65.50622662081489, -4.224961086852527, -82.60362153912997, -4.1831988872724315]"
0,210,"[65.01382808794787, -4.302490135947721, -82.98542155515257, -4.184812277033622]"
0,211,"[64.30499298751711, -4.580744689064662, -85.45803505663024, -5.8345407735843935]"
0,212,"[63.85062425229884, -4.598921571285817, -85.80973194038698, -5.770469264610081]"
0,213,"[63.51787329407871, -4.612233171551705, -86.2210654930767, -5.837692635067101]"
0,214,"[63.032949801960704, -4.631632387473253, -86.76036334764487, -5.906165906683797]"
0,215,"[63.186588709858036, -4.625486109974439, -86.61459652012056, -5.9054276489252455]"
0,216,"[62.928882500882246, -4.635795568009581, -86.77920420871463, -5.840051129474268]"
0,217,"[62.448117000615554, -4.655028444739411, -87.23478660820447, -5.841976257602984]"
0,218,"[61.94933437173422, -4.67498209118645, -87.88664788672887, -5.978758753249283]"
0,219,"[61.04216885599424, -4.766180615336569, -88.58574880623513, -5.915323655052013]"
0,220,"[60.56120971608239, -4.785059125229788, -89.04260757641852, -5.917637427499476]"
0,221,"[60.48809132910745, -4.787929153216229, -89.11206207593648, -5.917989181515869]"
0,222,"[61.017907959003395, -4.767132899108416, -88.60879401453457, -5.915440368074701]"
0,223,"[60.850382000750486, -4.773708593793891, -88.86729984740958, -5.9844444303511155]"
0,224,"[60.82223046467444, -4.774813592136199, -88.89407362822905, -5.984602431390229]"
0,225,"[60.40394799220334, -4.791231930284743, -89.29188507298727, -5.986950049833323]"
0,226,"[60.679870743536114, -4.835153143311488, -88.94898662514466, -5.984926491358898]"
0,227,"[60.10926537047592, -4.857119770557101, -89.49229920951446, -5.988132760711474]"
0,228,"[59.82316638020359, -4.868133739530007, -89.76471371720969, -5.989740369871185]"
0,229,"[59.20029419691549, -4.892112485118347, -90.45897770723248, -6.062680730786242]"
0,230,"[58.917132308994844, -4.903013384296281, -90.7289267957865, -6.064499128800811]"
0,231,"[58.41988545677531, -4.922155924425514, -91.20297129213004, -6.067692329324605]"
0,232,"[60.961357159182405, -4.7700944042334, -88.79676024066978, -5.983927646131405]"
0,233,"[60.46899891516408, -4.897980720010318, -89.18599385979768, -6.053991046526103]"
0,234,"[60.10614562210095, -4.91167497231017, -89.44915833433231, -5.987678100171053]"
0,235,"[61.02946180061606, -4.822422261611369, -88.66797676002065, -5.983068280019946]"
0,236,"[55.66964934303437, -8.018221421266723, -91.54598109397108, -7.864006432572079]"
0,237,"[55.13840385063698, -8.038673422384717, -92.05247424424938, -7.867418066568493]"
0,238,"[55.61182579220221, -8.021507715510799, -91.62736606529103, -7.8645546250497045]"
0,239,"[55.48673768065891, -8.026323539051562, -91.74662978047832, -7.8653579609784305]"
0,240,"[54.97624086912826, -8.045977385705118, -92.23335666110064, -7.868636453435806]"
0,241,"[56.42037114104927, -8.045718184516065, -90.8732841072112, -7.926251654048674]"
0,242,"[52.339337379407844, -10.281203149197868, -95.98040521485817, -11.562658770026633]"
0,243,"[51.822116561774976, -10.300724519053746, -96.474724722339, -11.566399998540081]"
0,244,"[52.46197072347512, -10.222932048955334, -95.97611325707483, -11.562626286593154]"
0,245,"[54.03897700057498, -9.266020192752286, -93.23510051433196, -9.42156746147587]"
0,246,"[53.63539675470552, -9.227797339426798, -93.8297028750132, -9.493304678398806]"
0,247,"[53.07017706599746, -9.303744826209632, -94.28999223455499, -9.49717066410004]"
0,248,"[50.62442824110016, -10.347194566807808, -97.75146947305295, -11.643955073539033]"
0,249,"[50.00775404572015, -10.422378925608605, -98.23100726598557, -11.647982727475076]"
0,250,"[49.986661318093034, -10.371266516094346, -98.36176548044088, -11.649080970084695]"
0,251,"[52.172630346438694, -8.785283359285392, -97.73626953628607, -10.847407171920088]"
0,252,"[52.297274460690225, -8.780578777268216, -97.54492948752892, -10.776815064968797]"
